timestamp,x_est,y_est,yaw_est,x_gt,y_gt,yaw_gt,pos_error,yaw_error
102.260000,2.814380,0.081512,-2.734361,2.817813,0.083471,-2.734360,0.003953,-0.000001
102.280000,2.814329,0.081556,-2.734362,2.817815,0.083473,-2.734361,0.003978,-0.000001
102.300000,2.814282,0.081602,-2.734362,2.817816,0.083473,-2.734361,0.003999,-0.000001
102.320000,2.814234,0.081644,-2.734363,2.817818,0.083474,-2.734362,0.004024,-0.000001
102.340000,2.814236,0.081645,-2.734364,2.817819,0.083475,-2.734363,0.004024,-0.000001
102.360000,2.814190,0.081687,-2.734365,2.817821,0.083476,-2.734364,0.004048,-0.000001
102.380000,2.814145,0.081728,-2.734366,2.817823,0.083477,-2.734365,0.004073,-0.000001
102.400000,2.814101,0.081769,-2.734367,2.817825,0.083478,-2.734366,0.004097,-0.000001
102.420000,2.814059,0.081808,-2.734368,2.817827,0.083479,-2.734367,0.004121,-0.000001
102.440000,2.814061,0.081808,-2.734369,2.817828,0.083480,-2.734368,0.004121,-0.000001
102.460000,2.814021,0.081845,-2.734370,2.817830,0.083480,-2.734369,0.004145,-0.000001
102.480000,2.813980,0.081883,-2.734371,2.817832,0.083481,-2.734370,0.004170,-0.000001
102.500000,2.813940,0.081918,-2.734372,2.817834,0.083482,-2.734371,0.004196,-0.000001
102.520000,2.813903,0.081953,-2.734668,2.817835,0.083483,-2.734372,0.004220,-0.000296
102.540000,2.813876,0.081940,-2.735827,2.818045,0.083545,-2.735826,0.004467,-0.000001
102.560000,2.813842,0.081975,-2.737180,2.818297,0.083643,-2.736456,0.004757,-0.000724
102.580000,2.813859,0.082028,-2.738788,2.818853,0.083667,-2.737953,0.005257,-0.000835
102.600000,2.813920,0.082025,-2.740747,2.819585,0.083587,-2.739689,0.005875,-0.001058
102.620000,2.814042,0.082052,-2.743183,2.820939,0.083248,-2.743182,0.007001,-0.000001
102.640000,2.814114,0.082002,-2.746072,2.821478,0.083095,-2.744567,0.007445,-0.001505
102.660000,2.814431,0.081890,-2.749506,2.822674,0.082721,-2.747718,0.008285,-0.001789
102.680000,2.814591,0.081858,-2.753541,2.824027,0.082258,-2.751447,0.009445,-0.002094
102.700000,2.814625,0.081902,-2.758295,2.825477,0.081676,-2.755764,0.010854,-0.002530
102.720000,2.814892,0.081831,-2.763657,2.827213,0.081172,-2.760854,0.012339,-0.002803
102.740000,2.814972,0.081816,-2.769782,2.829150,0.080520,-2.766626,0.014237,-0.003156
102.760000,2.815576,0.081627,-2.776749,2.832606,0.079307,-2.776749,0.017187,-0.000001
102.780000,2.815703,0.081631,-2.784604,2.833925,0.078848,-2.780540,0.018433,-0.004064
102.800000,2.816223,0.081457,-2.793421,2.836746,0.077747,-2.788888,0.020855,-0.004533
102.820000,2.816808,0.081223,-2.803235,2.839921,0.076479,-2.798207,0.023595,-0.005028
102.840000,2.816942,0.081134,-2.812859,2.843357,0.075033,-2.808171,0.027111,-0.004688
102.860000,2.817786,0.080704,-2.821786,2.846626,0.073430,-2.817302,0.029742,-0.004485
102.880000,2.818388,0.080571,-2.829833,2.849706,0.071987,-2.825940,0.032473,-0.003893
102.900000,2.819098,0.080283,-2.837583,2.853556,0.069831,-2.837583,0.036008,-0.000001
102.920000,2.819779,0.079992,-2.845155,2.855697,0.068465,-2.845154,0.037723,-0.000001
102.940000,2.819620,0.079999,-2.851715,2.856819,0.067832,-2.848510,0.039138,-0.003206
102.960000,2.820339,0.079671,-2.857649,2.860309,0.066260,-2.857648,0.042160,-0.000001
102.980000,2.821185,0.079368,-2.863568,2.861468,0.065829,-2.860613,0.042497,-0.002955
103.000000,2.821142,0.079575,-2.869451,2.863774,0.065005,-2.866517,0.045053,-0.002934
103.020000,2.822109,0.079128,-2.874827,2.865875,0.064248,-2.871993,0.046227,-0.002834
103.040000,2.823043,0.078794,-2.879808,2.867611,0.063440,-2.877418,0.047138,-0.002390
103.060000,2.823975,0.078409,-2.884666,2.869052,0.062702,-2.882015,0.047735,-0.002652
103.080000,2.824786,0.078000,-2.886982,2.870065,0.061809,-2.887380,0.048087,0.000397
103.100000,2.825749,0.077566,-2.896262,2.870711,0.060732,-2.893216,0.048011,-0.003046
103.120000,2.826568,0.077060,-2.902416,2.871047,0.059454,-2.899312,0.047836,-0.003104
103.140000,2.826390,0.076988,-2.910602,2.871177,0.058088,-2.906434,0.048612,-0.004168
103.160000,2.827235,0.076206,-2.919303,2.871496,0.056352,-2.914901,0.048510,-0.004402
103.180000,2.828179,0.075851,-2.929999,2.871988,0.054387,-2.924523,0.048784,-0.005476
103.200000,2.829151,0.075130,-2.941795,2.872823,0.051930,-2.935773,0.049451,-0.006022
103.220000,2.830143,0.074254,-2.956537,2.873982,0.049199,-2.948891,0.050494,-0.007646
103.240000,2.830205,0.074079,-2.973583,2.875787,0.045890,-2.964732,0.053594,-0.008851
103.260000,2.831166,0.073089,-2.993025,2.878220,0.042013,-2.983025,0.056390,-0.010000
103.280000,2.832876,0.071342,-3.014025,2.881194,0.037690,-3.003429,0.058882,-0.010596
